Nickname,Verified,CommentCount,PlayCount,ShareCount,Duration
미소아라 Miso_Ara,True,66000,200600000,377700,17
Chris Rinker,False,154100,79600000,205400,11
IamPéts,False,55300,106100000,323000,25
dailydosevideos,False,70600,72500000,133400,62
Jake Sherman,True,35500,62700000,252900,36
Jiraer Koullokian,False,205200,100800000,795700,10
Samuel Grubbs,True,59900,133200000,707400,18
Movie-Nerd74,False,113200,69400000,337900,16
The Chainz Family,True,100900,149500000,1200000,13
Samuel Grubbs,True,54500,83100000,196600,19
Guro Elde Paulsen,True,46900,109300000,10300,18
Jenn Melon,False,66200,35800000,109800,14
Lord_Balesteak,False,102300,54000000,505600,9
Mully,True,56600,65000000,522800,10
It'sStefano,False,40700,67800000,45900,8
British Promise Cats,False,467000,299500000,2800000,13
Funny Vids 2k21,False,233600,227100000,1300000,7
Samuel Grubbs,True,214600,169500000,433300,14
Bandit the Raccoon,False,151700,110100000,394000,10
Nicolas Roman,False,103800,177700000,391400,16
Austin Mollno,False,44500,121800000,60300,51
funny_v.i.p,False,75900,153000000,463900,33
Hassan,False,117500,122600000,363400,13
원정맨 WonJeong,True,155600,152100000,159600,10
Cute pets,False,137300,300600000,989900,10
Or Zuti,True,86100,243800000,281300,11
Chris Rinker,False,154100,79600000,205400,11
funny_v.i.p,False,94500,121700000,393300,46
Funny Vids 2k21,False,170600,127700000,621700,7
cute_cheese,False,35800,144400000,192200,42
Kitty cat｜Kucing,False,183700,112300000,1400000,6
HUỲNH❖MEMEツ☑,False,52200,59600000,94700,23
Deanna Giulietti,True,15800,44300000,12900,33
Carlo,False,48700,53300000,101500,59
Aaron Neary,False,45100,29000000,129100,15
Kirby Long,False,33900,39800000,36200,13
EmJ✰,False,8351,35100000,35200,38
Amanda,False,45900,33600000,230800,18
tymilli,False,46400,26100000,75700,16
Jenfuh21,False,62100,25800000,197400,39
Zyh the guy,False,13600,45800000,7868,31
Limb Loss Boss,False,37400,33800000,441100,13
Jesse Joseph Geneau,False,19200,41900000,257100,9
Mary,False,52400,50200000,281900,7
The Sicilian father,False,17400,36900000,211300,15
albatross15,False,61300,24600000,108100,16
Chris Rinker,False,154100,79600000,205400,11
UserSeif,False,82800,78200000,165100,13
DADDY MING,True,84900,89800000,17700,21
Memes We Love ❤️,False,56200,51300000,263600,12
Wee,False,67600,102300000,368600,7
Chris Rinker,False,154100,79600000,205400,11
원정맨 WonJeong,True,71700,160400000,61600,18
IamPéts,False,55300,106100000,323000,25
Charlie,False,88800,143800000,223400,16
Drake kiker,False,11000,34700000,273800,39
NOCLOUD,False,5660,34200000,25600,30
Littel Johnny,False,25800,28100000,124900,32
Conlan,False,9629,26800000,56400,42
Jake Riley,False,58700,27300000,64700,12
Kison Kee,True,324700,324500000,2100000,8
Nicolas Roman,False,103800,177700000,391400,16
Spencer X,True,94400,226300000,167100,16
Hassan,False,117500,122600000,363400,13
Cartertvstar3,False,176500,91600000,443300,28
Joey Klaasen,True,21100,126700000,80300,10
Daniel LaBelle,True,94700,78500000,238900,58
Charlie,False,88800,143800000,223400,16
Hunain M,False,178800,76900000,673200,10
Manuel Mercuri,True,132900,118300000,362600,10
Grace Wolstenholme,False,231900,109800000,397600,8
Tristan Maloney,False,131800,86300000,552000,32
Uyi,True,123600,64200000,388200,31
Spencer X,True,15600,146800000,72100,11
Adrian Bliss,True,82500,73000000,412600,39
major,False,122800,73400000,1000000,42
Cool Grandpa,False,140600,57600000,280500,8
The Chainz Family,True,100900,149500000,1200000,13
Spencer X,True,20500,105800000,67500,9
Xavier,False,105900,53200000,226300,11
Fishing Guy,False,347500,167500000,1300000,9
♡  Tay,False,344300,63500000,1000000,10
Hinzman Fam,False,186900,92800000,366700,11
funny_p.e.t,False,28800,72600000,138000,20
funny_p.e.t,False,40200,62200000,120800,45
Deanna Giulietti,True,15800,44300000,12900,33
Road To Aesthetics,False,68100,63100000,195500,15
Odgkenzo,False,17700,38700000,127600,26
Bridget Chant,True,36400,43200000,151900,11
EmJ✰,False,8351,35100000,35200,38
funny_p.e.t,False,31600,43500000,73400,49
Rico Animations,False,51300,104500000,203000,13
Jo Gma Beck,False,8819,51400000,5930,47
Fun!,False,18000,62700000,66500,24
Lilah,False,62300,94300000,682900,30
,False,76100,56800000,146300,49
Paige Richardson,False,35600,21300000,60400,59
Paranormal Princess,False,150000,67900000,383000,11
,False,88000,46600000,428600,29
curtistootrill,True,13300,40800000,73200,7
spider_slack,True,190800,163800000,610400,14
Melany,False,112000,91100000,299300,46
Cute pets,False,137300,300600000,989900,10
LeeThe4th,True,72200,57800000,91700,55
LuffGuyl,False,60600,48600000,133400,11
Yuiツ,False,66400,83900000,110500,23
Mully,True,56600,65000000,522800,10
(´･ω･`),False,193300,93800000,434700,15
Bob Reese,False,83000,54700000,199300,8
comeatmebhai,False,86300,44200000,95300,13
HUỲNH❖MEMEツ☑,False,52200,59600000,94700,23
Bob Reese,False,119300,39900000,221500,6
meme hub,False,114700,72600000,495600,39
Just Memes,False,40200,61000000,185400,24
Bob Reese,False,57000,59000000,73600,18
Snow,False,47500,55400000,109100,12
Bob Reese,False,11300,31400000,15600,21
JeddEye,True,95900,44900000,1400000,15
Lewonade,False,79400,29300000,282600,9
Mully,True,47800,44300000,499900,14
Niall MacMillan,False,14800,71400000,22400,23
Andie,False,84100,31700000,166900,59
Niall MacMillan,False,48800,42000000,319700,30
Niall MacMillan,False,9886,32800000,25900,14
Niall MacMillan,False,56200,32500000,94400,43
chantellefen,False,34600,15700000,50700,10
Giri,False,38900,25100000,121400,65
Niall MacMillan,False,29800,28600000,252500,26
Donfello,False,40000,15300000,83000,53
Niall MacMillan,False,14500,25600000,33700,22
AfroManiac,False,11700,18500000,25400,6
JustComedyTv,False,16100,15600000,22200,20
How Things Actually Work,False,15100,46400000,20700,15
Niall MacMillan,False,18600,16200000,44600,28
Lars&Joep,False,5238,23800000,24100,13
Gursim Kainth,False,31200,8000000,208300,59
Q,False,6879,15700000,20600,10
N A T A L I E✨,False,13600,12300000,53000,56
Niall MacMillan,False,8084,16600000,25400,18
weturntfup,False,16000,16100000,46400,23
Samuel Grubbs,True,214600,169500000,433300,14
Lil Stace,True,70500,81500000,441200,37
Samuel Grubbs,True,59900,133200000,707400,18
Dev & Montyy,False,67300,51700000,150000,19
The Chainz Family,True,100900,149500000,1200000,13
Arshdeep Soni,True,14400,116300000,40900,22
FrenchSquadProductionz,False,171800,66900000,657200,90
Ronni,False,95100,83500000,60300,23
Nicolas Roman,False,35800,78000000,111600,14
Joey and Steven,False,20500,49600000,29900,73
Neil henry,True,17900,221100000,403700,15
ulisesbaby,False,72100,35600000,191400,8
Bob Reese,False,83000,54700000,199300,8
Samuel Grubbs,True,42000,48000000,268700,15
The BabyGirl,False,54900,161700000,197100,5
Kate Phillips,False,87100,34000000,309000,15
Diana Rantamäki,True,46400,69300000,633400,33
Dustin Phillips,False,33400,45000000,37300,25
BashTheEntertainer,True,118400,47900000,405000,53
Lil Stace,True,32000,30800000,118800,17
Lil Stace,True,70500,81500000,441200,37
deirdre elle mantua,False,40100,59200000,35900,57
FrenchSquadProductionz,False,171800,66900000,657200,90
DeBrezo,False,88700,44200000,102100,22
Dustin Phillips,False,33400,45000000,37300,25
Meaw,False,107500,36400000,202400,9
Ali D,False,67800,44400000,119900,16
BlackMarket_95,False,71200,49400000,270000,16
nderaxus,False,26200,31100000,110700,48
Alantae Nicholas,False,79800,25200000,361700,49
CUTE.PET,False,80400,44200000,320100,8
Sucklngs TV,False,57200,30700000,78800,12
28:06:42:12,False,87700,35400000,106800,12
✨Cardi B✨,False,64400,27500000,123000,8
Kyser,False,81000,66100000,84600,15
,False,115800,22700000,210000,10
itsoraida,False,37200,36200000,139200,15
longtimeladygaga,False,78400,25700000,110500,23
The Sicilian father,False,17400,36900000,211300,15
Alantae Nicholas,False,59400,27700000,219400,56
Daniel LaBelle,True,94700,78500000,238900,58
Manuel Mercuri,True,132900,118300000,362600,10
stefano_bron,False,118400,80100000,174300,13
Masacuata,False,78800,74900000,240600,10
Michael Jackson Cartagena,False,311100,82200000,679200,16
Mag Demon,False,102700,69600000,720300,8
Manuel Mercuri,True,56200,143000000,154100,8
Lori Greiner,True,136400,77200000,138700,11
Rosendo Duarte Jr.,False,36200,81200000,91500,15
